name,description,columnType,maximumSize,enumValues_value,enumValues_description,enumValues_source,project
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,https://en.wikipedia.org/wiki/Protein_isoform,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,http://www.kinomecore.com/what-is-kinomics/,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,drugScreen,Information on drug sensitivity and molecular markers of drug response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,cellularPhysiology,,,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,https://en.wikipedia.org/wiki/Chromatin_remodeling,standard
individualIdSource,Database or repository to which individual ID maps,STRING,250,,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,cerebral cortex,The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000956,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,frontal lobe,Frontal lobe is the anterior-most of five lobes of the cerebral hemisphere. It is bounded by the central sulcus on its posterior border and by the longitudinal cerebral fissure on its medial border.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016525,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,hippocampus,A curved elongated ridge that extends over the floor of the descending horn of each lateral ventricle of the brain and consists of gray matter covered on the ventricular surface with white matter.,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000601,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,nerve tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,dorsolateral prefrontal cortex,"Broadly-defined, consists of the lateral portions of Brodmann areas 9 - 12, of areas 45, 46, and the superior part of area 47.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009834,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,anterior cingulate cortex,That portion of the cingulate cortex which is located within the frontal lobe (the remainder being in the parietal lobe).,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004249,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,frontal pole,Component of the frontal lobe. The rostral and caudal boundaries of the frontal pole are the superior frontal gyrus and the rostral division of the middle frontal gyrus respectively (Christine Fennama-Notestine).,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002795,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,parahippocampal gyrus,"A long convolution on the medial surface of the temporal lobe, forming the lower part of the fornicate gyrus, extending from behind the splenium corporis callosi forward along the dentate gyrus of the hippocampus from which it is demarcated by the hippocampal fissure.",https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004380,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,superior temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the ssuperior temporal sulcus. The caudal boundary is the cauday portion of the superior temporal gyrus (posterior to becoming continuous with the supramarginal gyrus).",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002769,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,inferior frontal gyrus,"Component of the frontal lobe, lateral aspect. The rostral boundary is the first appearance of the inferior frontal sulcus whereas the caudal boundary is the precentral gyrus. The medial and lateral boundaries are the lateral bank of the inferior frontal sulcus and the medial bank of the lateral orbital sulcus and/or the circular insular sulcus respectively (Christein Fennema-Notestine).",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002998,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,cerebellum,Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002037,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,occipital visual cortex,The area of the occipital lobe of the cerebral cortex concerned with vision.,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001857,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,inferior temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the inferior temporal sulcus whereas the caudal boundary is designated as the temporo-occipital incisure on the cortical surface.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002751,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,middle temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the superior temporal sulcus whereas the caudal boundary is the temporo-occipital incisure on the cortical surface.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002771,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,posterior cingulate cortex,Component of the cingulate cortex. The rostral and caudal extent were the caudal anterior and the isthmus divisions of the cingulate cortex respectively.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022353,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,temporal pole,Anterior component of the temporal lobe (rostral boundary) extends caudally to the entorhinal cortex.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002576,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,precentral gyrus,Component of the frontal lobe. The appearance and disappearance of the central sulcus is the rostral and caudal boundaries of the precentral gyrus respectively.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002703,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,superior parietal lobe,A superficial feature of the parietal lobe that extends from the dorsal surface of the superior parietal lobule across the margin of the parietal lobe into the precuneus.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0026724,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,prefrontal cortex,"The prefrontal cortex is the anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.",https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0002807,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,amygdala,The one of the four basal ganglia in each cerebral hemisphere that is part of the limbic system and consists of an almond-shaped mass of gray matter in the anterior extremity of the temporal lobe.,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001042,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,caudate nucleus,Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001873,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,nucleus accumbens,A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen (caudoputamen in rodent).,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001882,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,putamen,"Subcortical nucleus of telencephalic , which together with the caudate nucleus, forms the striatum.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001874,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,temporal cortex,"Gray matter of the temporal region of the neocortex, located in the temporal lobe in gyrencephalic animals.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016538,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,orbitofrontal cortex,The region of the cerebral cortex covering the basal surface of the frontal lobes.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004167,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,ventrolateral prefrontal cortex,"Is part of the prefrontal cortex, located on the inferior frontal gyrus, bounded superiorly by the inferior frontal sulcus and inferiorly by the lateral sulcus.",https://en.wikipedia.org/wiki/Ventrolateral_prefrontal_cortex,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,medial frontal cortex,Component of the orbtial frontal cortex. The rostral boundary is the first slice where the medial orbital gyrus became visible whereas the caudal boundary is the disappearance of the medial orbital gyrus/gyrus rectus.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022352,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,primary motor cortex,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,primary somatosensory cortex,The part of the cerebral cortex that receives projections from the motor thalamus and which projects to motor neurons in the brainstem and spinal cord.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001384,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,posteroinferior parietal cortex,"Gray matter of the parietal region of the neocortex, located in the parietal lobe of gyrencephalic animals.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016530,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,primary auditory cortex,The part of the auditory cortex that is located on the superior temporal gyrus in the temporal lobe and receives point-to-point input from the ventral division of the medial geniculate complex.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0034751,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,posterior superior temporal cortex,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,inferolateral temporal cortex,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,primary visual cortex,A subdivision of the cytoarchitecturally defined occipital region of cerebral cortex in the human.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002436,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,amygdaloid complex,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,striatum,"A region of the forebrain consisting of the caudate nucleus, putamen and fundus striati.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002435,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,mediodorsal nucleus of thalamus,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,cerebellar cortex,"The superficial gray matter of the cerebellum. It consists of three layers, the stratum moleculare, stratum granulosum, and stratum purkinjense.",https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000043,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,serum,Liquid derived from blood plasma that has clotting factors removed.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001977,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,splenocyte,Any leukocyte that is part of a spleen.,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_2000074,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,blood,A fluid that is composed of blood plasma and erythrocytes.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000178,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,primary tumor,"A primary tumor is the tumor at the initial site of cancer, not where the cancer may have spread or metastasized, called the secondary tumor.",https://cancergenome.nih.gov/cancersselected/biospeccriteria,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,Not Applicable,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,meninges,The three thin layers of tissue that cover and protect the brain and spinal cord.,https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0024758/,standard
consortium,The name of the consortium,STRING,250,CommonMind Consortium,,https://www.synapse.org/cmc,standard
consortium,The name of the consortium,STRING,250,PsychENCODE Consortium,,https://www.synapse.org/pec,standard
consortium,The name of the consortium,STRING,250,AMP-AD,Accelerating Medicines Partnership-Alzheimer‰Ûªs Disease,https://www.synapse.org/ampad,standard
consortium,The name of the consortium,STRING,250,MODEL-AD,Model Development and Evaluation for Late Onset AD,https://www.synapse.org/ampad,standard
consortium,The name of the consortium,STRING,250,M2OVE-AD,Molecular Mechanisms of the Vascular Etiology of Alzheimer‰Ûªs Disease ,https://www.synapse.org/ampad,standard
consortium,The name of the consortium,STRING,250,BSMN,Brain Somatic Mosaicism Network,https://www.synapse.org/bsmn,standard
consortium,The name of the consortium,STRING,250,CSBC,Cancer Systems Biology Consortium,https://csbconsortium.org/,standard
consortium,The name of the consortium,STRING,250,PSON,Physical Science in Oncology,https://physics.cancer.gov/,standard
consortium,The name of the consortium,STRING,250,GENIE,Genomics Evidence Neoplasia Information Exchange,http://www.aacr.org/Research/Research/Pages/aacr-project-genie.aspx#.WOQS9RIrKF0,standard
consortium,The name of the consortium,STRING,250,Synodos NF1,Data derived from the CTF-funded NF1 pre-clinical model Synodos project,https://www.synapse.org/ctf,standard
consortium,The name of the consortium,STRING,250,Synodos NF2,Data derived from the CTF-funded NF2 Synodos project,https://www.synapse.org/syndosnf2,standard
consortium,The name of the consortium,STRING,250,Synodos LGG,Data derived from the CTF-funded NF1 LGG Synodos project,http://www.synapse.org/nf1lgg,standard
consortium,The name of the consortium,STRING,250,DHART SPORE,Data from the D-HART SPORE,http://www.synapse.org/dhart,standard
consortium,The name of the consortium,STRING,250,Not Applicable,,,standard
individualID,The name of the consortium,STRING,250,,,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,idx,,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s)",http://edamontology.org/format_2572,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bai,BAM indexing format,http://edamontology.org/format_3327,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,excel,Microsoft Excel spreadsheet format,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,powerpoint,Microsoft Powerpoint slide format,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,tif,"Tagged Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images",https://en.wikipedia.org/wiki/TIFF,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,png,PNG is a file format for image compression,http://edamontology.org/format_3603,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,doc,Microsoft Word document format,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,pdf,Portable Document Format,http://edamontology.org/format_3508,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,hdf,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data",https://en.wikipedia.org/wiki/Hierarchical_Data_Format,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,fasta,"FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes",https://en.wikipedia.org/wiki/FASTA_format,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,fastq,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores. Both the sequence letter and quality score are each encoded with a single ASCII character for brevity,https://en.wikipedia.org/wiki/FASTQ_format,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,sam,Sequence Alignment/Map (SAM) format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s),http://edamontology.org/format_2573,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,vcf,"Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",http://edamontology.org/format_3016,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bcf,"BCF, the binary version of Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",http://edamontology.org/format_3016,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,maf,"Multiple Alignment Format (MAF) supporting alignments of whole genomes with rearrangements, directions, multiple pieces to the alignment, and so forth",http://edamontology.org/format_3008,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bed,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser",http://edamontology.org/format_3003,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,chp,CHP file contains probe set analysis results generated from Affymetrix software,,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,cel,Format of Affymetrix data file of information about (raw) expression levels of the individual probes,http://edamontology.org/format_1638,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,sif,SIF (simple interaction file) Format - a network/pathway format used for instance in cytoscape,http://edamontology.org/format_3619,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,tsv,Tabular data represented as tab-separated values in a text file,http://edamontology.org/format_3475,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,csv,Tabular data represented as comma-separated values in a text file,http://edamontology.org/format_3752,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,txt,Textual format,http://edamontology.org/format_2330,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,plink,Any Plink file format (MAP/PED/BED),,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,idat,Proprietary file format for (raw) BeadArray data used by genomewide profiling platforms from Illumina Inc,http://edamontology.org/format_3578,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bigwig,bigWig format for large sequence annotation tracks that consist of a value for each sequence position,http://edamontology.org/format_3006,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,wiggle,Wiggle format (WIG) of a sequence annotation track that consists of a value for each sequence position,http://edamontology.org/format_3005,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,gct,"Tab-delimited text files of GenePattern that contain a column for each sample, a row for each gene, and an expression value for each gene in each sample",http://edamontology.org/format_3709,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,bgzip,Blocked GNU Zip format,http://edamontology.org/format_3615,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,seg,SEG file (segmented data; .seg or .cbs) is a tab-delimited text file that lists loci and associated numeric values,https://software.broadinstitute.org/software/igv/SEG,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,html,HTML format,http://edamontology.org/format_2331,standard
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,250,md,Markdown (MD) is a lightweight markup language with plain text formatting syntax,https://en.wikipedia.org/wiki/Markdown,standard
